Config DS,OVS Switch,Operational DS
1.582,1.652,3.781
Config DS,OVS Switch,Operational DS
1.603,1.666,3.801
Config DS,OVS Switch,Operational DS
1.557,1.614,3.761
Config DS,OVS Switch,Operational DS
1.645,1.714,3.849
Config DS,OVS Switch,Operational DS
1.533,1.597,3.736
Config DS,OVS Switch,Operational DS
113.036,116.027,132.032
Config DS,OVS Switch,Operational DS
4.671,4.791,7.144
Config DS,OVS Switch,Operational DS
3.465,3.529,3.664
